Epoch	Train	Validation
0	10.94241550822351	8.489240854473312
1	7.950859174451397	7.2528886708203455
2	7.09642666871611	6.862440013508526
3	6.70078098928849	6.5601591420201935
4	6.4637347858964125	6.329107437051441
5	6.294857040595355	6.22943337186535
6	6.1661976039929485	6.087473877398983
7	6.068657017164362	6.037276520521097
8	5.991289582651675	5.967191140302763
9	5.919769490021825	5.892619365066411
10	5.86207806183061	5.85670856522236
11	5.813659348208286	5.816035775466477
12	5.768103949752749	5.807088395695192
13	5.729481342109475	5.755464197595804
14	5.694450881127801	5.727423008180242
15	5.665349957627317	5.699528175280053
16	5.634025732841099	5.692548318921523
17	5.606340021948602	5.6598036834362935
18	5.583542638322293	5.651160524106291
19	5.5607842760146875	5.642049706053933
20	5.538156827617159	5.640429615397592
21	5.5188825951197975	5.601700732737662
22	5.499773519504979	5.598283443943856
23	5.482287962854104	5.586419586506954
24	5.467646056881211	5.581780356330522
25	5.450452018037726	5.547135763241699
26	5.43684580507009	5.557196855210611
27	5.423180786578587	5.561372375344134
28	5.408898594337309	5.524996321326458
29	5.399469926624688	5.556754139702642
30	5.386699786768505	5.547361318078088
31	5.374756621185404	5.516759108202228
32	5.364904736634108	5.5119763782205595
33	5.354082499807641	5.5041344900277815
34	5.344492692847349	5.490073137616028
35	5.332839128742739	5.482463534197412
36	5.326298509843752	5.504459736388935
37	5.315516794552807	5.478667043914898
38	5.308356367936239	5.477104217671719
39	5.300596918905093	5.474085478695398
40	5.293205403210857	5.459863030635156
41	5.285261529566795	5.450331781635212
42	5.27812922667837	5.454897225423011
43	5.268672108156324	5.4478927231370164
44	5.263344810698973	5.438507524741108
45	5.257159519063757	5.456756771515533
46	5.25038874362958	5.430461808314497
47	5.24411056185939	5.449393995548245
48	5.238229758377382	5.426026297165534
49	5.232681982832452	5.432721005397001
50	5.227094215872517	5.422737972748531
51	5.2206556345970085	5.434611927010581
52	5.214470551740599	5.423446193849913
53	5.211102142573354	5.4160755733656165
54	5.206956109518637	5.416868326494957
55	5.200924530529191	5.418065851783449
56	5.196100912049524	5.409826791496474
57	5.19132539770199	5.401757546692107
58	5.186985980774885	5.412143541296222
59	5.180849594149861	5.40102454518361
60	5.1768839735380965	5.40839513960873
61	5.172992718474997	5.40029464355497
62	5.168515103558079	5.380934182959032
63	5.164288729321221	5.40688423738329
64	5.161031571787959	5.398546977684997
65	5.156412067236241	5.400272562382541
66	5.151203681887233	5.379681753959667
67	5.149090318663111	5.3886397010170395
68	5.144477014972149	5.378033145689062
69	5.141454626857615	5.384202633014755
70	5.137416503884394	5.385277902188116
71	5.1338792901309835	5.384018401487265
72	5.129705466650315	5.385492820044555
73	5.126746149117144	5.37511308648632
74	5.1227581986429165	5.380618987621996
75	5.120580035990378	5.365962200099247
76	5.117712882443387	5.376943185567446
77	5.114345903396964	5.361196156591984
78	5.110581049570847	5.358795743577764
79	5.107014612856133	5.360423086930435
80	5.105056745531529	5.365103969213053
81	5.101257608386592	5.36307194219755
82	5.100859496503851	5.357059433016623
83	5.095937372817686	5.355252420455456
84	5.094576728516845	5.3553668638169665
85	5.092315639636385	5.353157949456653
86	5.08821025181131	5.352439090704977
87	5.085492956399877	5.352217181865945
88	5.082523288750626	5.343176568967321
89	5.080734088941116	5.354637574042076
90	5.077919817415825	5.3465480361659905
91	5.075994867432782	5.347657829590038
92	5.0731856063229985	5.352155018047857
93	5.071277071889465	5.339337147805649
94	5.069083767882082	5.345807770098742
95	5.065884801126548	5.353458995826352
96	5.062639658227103	5.345636250135386
97	5.061914819992659	5.3437757127648435
98	5.059548638846612	5.348717631094452
99	5.056061192231881	5.3415211638192
